asset_id,filename,sha256,width,height,bytes,created_date,generator,model,synthetic,chapter,subjects,contexts,prompt_record,reference_ancestry,material_edits,visual_qa,release_state
"CHA-011","CHA-011-nora-eli-recipe.png","34895d2c0b964a250beb9be08dc80f148b6ddc41cc4060779592acde552e8e0b","1536","1024","2378241","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Nora;Eli","Cedar House;Cedar House Years","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-012","CHA-012-theo-moss-repair.png","ea0545283301e9d1c9a3d77c9c39cbc15877e35926fad3bda37e24a3750c2cc3","1536","1024","2682122","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Theo","Moss;Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-013","CHA-013-maya-samira-planting.png","de034dfbff91822a35810fd78bf1bee1e08f99cd212a26802a7b5346f75ac58d","1536","1024","2894878","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Maya;Samira","Cedar House;Cedar House Years","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-014","CHA-014-alex-juniper-backlight.png","1471ed0efdfc0577fc14cf0ff168ce7999731439e900f62c93c9c9cbdca8638c","864","1821","2206416","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Alex;Juniper","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-015","CHA-015-pixel-sleeping-quilt.png","38626276258a3b65d887fa3cc8990f8941712656f17ecffa4579408daf042523","1536","1024","2705546","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Pixel","Star Quilt;Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-016","CHA-016-busy-family-dinner.png","e8ba9cbbe6d04aeacaeefcaccb0b689b5d849d5b9793fb8333bb6ada5f3f4238","1680","936","2362418","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Maya;Alex;Nora;Theo;Samira;Eli","Cedar House;Cedar House Years","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-017","CHA-017-porch-rain-boxes.png","9c3671083a99d3718849aad3c2edca234ffc1308b5166b7055a53b0d0a3e9899","941","1672","2670593","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Alex;Theo","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-018","CHA-018-eli-juniper-walking-away.png","fea3df0f112d76f9e969288b9d9c9674b07acb0e46fac0bc7dacec28fb9267b8","1024","1536","2744211","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","Eli;Juniper","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-019","CHA-019-moss-front-gate.png","41183932d00c5849c6c8483492ed0c9a8cf3c97421c102434aae9d0b83f2a2b8","1024","1536","2933212","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","","Moss;Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-020","CHA-020-cedar-house-dusk.png","b3a03ee5e3d8b4567d9552fa9f3947647117b09abf356f85e364b5351a4e97ad","1537","1023","2589220","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","cedar_house","","Cedar House","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-021","CHA-021-ruby-departure.png","0727f82a36328ae2d6803394cd317eb04c946477ed6cf4bcbab501bcc599235b","1581","995","2546998","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Samira;Alex;Eli","Ruby;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","cast record corrected 2026-07-20 after human comparison; image bytes unchanged","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-022","CHA-022-maya-driving-profile.png","1193f6b83872ddb3067c62dddf7a2b1bcaf92b5600f8813afc8fdbeed1559a83","1619","972","2223172","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Maya","Ruby;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-023","CHA-023-bluewater-arrival.png","cefa577ddc8f454baea985e0e20ea8e6e534277ba518da7c3f98635323133341","1729","910","2675368","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Maya;Alex;Nora;Samira;Eli;Juniper","Bluewater Beach;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-024","CHA-024-alex-eli-kayak.png","3e32fbc3f9cb118ea3ce3cdb6ea47ab16bb2fc1522e8f486a497a63a042d768b","1672","941","2399189","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Alex;Eli","Sunbeam;Bluewater Beach","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-025","CHA-025-samira-sunhat.png","d5cbdde748fbd92003eefeedcc2adc10a9ca1f51f533f57d40b4e2488276c1d1","1023","1537","2792448","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Samira","Bluewater Beach;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-026","CHA-026-nora-beach-umbrella.png","a3879bd144ef0a197b693ae74c8c7bf5f13fc3d56af897ae53f20f598cb4ab83","864","1821","2191144","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Nora","Bluewater Beach;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-027","CHA-027-juniper-shallows.png","e507c320c51d92a68b95dabea725075e792a9c5ae0b72c6aadca7ef09929881e","1536","1024","2655546","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Juniper","Bluewater Beach;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-028","CHA-028-five-silhouettes.png","c8b70b24960f10c434ccb92962b342915beb402e51becb3b4584d16fe8f10122","1704","923","1880082","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Maya;Alex;Nora;Samira;Eli","Bluewater Beach;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-029","CHA-029-tide-pool-heads.png","f650f6361e84b764a82887aa6ccb6b98271e5a21fc0fcdd42b58d2b59df1bc75","1536","1024","3077951","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Nora;Samira;Eli","Bluewater Beach;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","cast record corrected 2026-07-20 after human comparison; image bytes unchanged","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-030","CHA-030-bluewater-overlook.png","aa18c6a5c4c9af6449db5e736f79542b3b9cb12a533fd395e0fe09fa1097e49e","1536","1024","2896550","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Maya;Alex;Eli;Juniper","Bluewater Beach;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","semantic filename mapping corrected 2026-07-20; accepted generator bytes unchanged","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-031","CHA-031-setting-birthday-table.png","6eacf4a6c49dd779953cee8c604efac1c7585a0fe996ed093a3e8aa9a8fa35e4","1536","1024","2536978","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","birthday","Maya;Samira","Star Quilt;Nora's 70th Birthday","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","semantic filename mapping corrected 2026-07-20; accepted generator bytes unchanged","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-032","CHA-032-nora-birthday-cake.png","01b753d1356d313ba5b11d1e6b6308bc70ff395d747ed800a476d5a24b0c5e87","1536","1024","2358093","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","birthday","Nora","Nora's 70th Birthday","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-033","CHA-033-crowded-toast.png","bf0eda0e5d39c696b2a94c447548edc5415397baba7c790c53cc1d022d06fe56","1535","1024","2170963","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","birthday","Maya;Alex;Nora;Theo;Samira","Nora's 70th Birthday","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-034","CHA-034-maya-carries-cake.png","0e38f9d853059cb6783de1d127cf7f05275336d1efc80c58ccee0e88412137cf","1024","1536","2293244","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","birthday","Maya","Nora's 70th Birthday","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-035","CHA-035-samira-theo-profiles.png","1f317e9d022dd0ff2fd94a65ef69a0e354303d397c19a2f7cdbd7ba6ba04afb4","1536","1024","2219767","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","birthday","Samira;Theo","Nora's 70th Birthday","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-036","CHA-036-eli-motion-blur.png","79fd8fe58c4b1ffffdd7ed61dd8931d3416459138554064e901ffecd6246e63b","1536","1024","1986487","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","birthday","Eli","Nora's 70th Birthday","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-037","CHA-037-nora-eli-card.png","a624d244962c454512473504b006062c034821d0d2d7afac545a5c2f3a941789","1535","1024","2549639","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","birthday","Nora;Eli","Nora's 70th Birthday","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-038","CHA-038-formal-family-group.png","d8f9ca22f22d99c7b8a63bba77664c965a91dd754b635c4ab3047da52ab00fd3","1535","1024","2458165","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","birthday","Maya;Alex;Nora;Theo;Samira;Eli","Nora's 70th Birthday","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-039","CHA-039-garden-overview.png","b98b74466501ae59e599b32490391b1527e5cea59db4cb499b102841daf7db90","1538","1022","3330826","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","garden","","Willow Community Garden;Saturday Garden Crew","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-040","CHA-040-theo-alex-timber.png","e6806bc2507243df9d3d226c5f643267a4c8583a5a68dc710c76641f04e459c3","1536","1024","2805659","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","garden","Theo;Alex","Willow Community Garden;Saturday Garden Crew","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-041","CHA-041-maya-samira-planting.png","b39dba6597d24a023205612f12600837e684780fe14442931c375ec35d3a71a9","1536","1024","2805319","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","garden","Maya;Samira","Willow Community Garden;Saturday Garden Crew","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-042","CHA-042-nora-sunhat.png","f8b430c219a49ec6a14f6ab806c26851b5d90e56f4984a3e1a62bbdfbc35c3c2","1024","1536","2953850","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","garden","Nora","Willow Community Garden;Saturday Garden Crew","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-043","CHA-043-eli-juniper-wheelbarrow.png","0ee672c5f01fe7b5898afa8040273e3a1d4d35789d51fa7eaedb28accd889d5d","1536","1024","3020970","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","garden","Eli;Juniper","Willow Community Garden;Saturday Garden Crew","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-044","CHA-044-tools-moss-shed.png","7cabdb0b47045d76a2a50aa8147446a255d3d33d460eeb70926ec6954c28df7b","1535","1024","2815377","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","garden","","Moss;Willow Community Garden;Saturday Garden Crew","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-045","CHA-045-crew-walking-away.png","b5800f251f61873f32531e816bb6b8b532c204fd8cad8de63b2553a5c34c187b","1536","1024","2861428","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","garden","Maya;Alex;Theo;Samira;Eli","Willow Community Garden;Saturday Garden Crew","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-046","CHA-046-bluewater-itinerary.png","3f6cf94bb23c20fcc7fd0943123eb9634dbf9832b42e1f50c7c2bd1be402a283","1536","1024","3122124","2026-07-20","OpenAI image generation via Codex","gpt-image-2","true","documents","","Bluewater Weekend;Bluewater Beach;Ruby","canonical prompt synopsis in prompts.md; printed dates corrected to 2022-07-15 through 2022-07-17","context-contact-sheet-v1.png; shot-ledger.csv","date-only synthetic regeneration; prior accepted bytes preserved in the private correction archive","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-047","CHA-047-juniper-vaccination-record.png","64d76e86acda3b0662d991a32b8e8403c0d7fb97fe5a4693c72d3603e75f7ff3","1536","1024","2550492","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","documents","Juniper","","canonical prompt synopsis in prompts.md","context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-048","CHA-048-ruby-repair-receipt.png","2072f3f28e405405ca6bb187e8ebcfa48e7e031959ac95c8966de0ef45a0a0a2","1536","1024","3018568","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","documents","","Ruby;Northside Workshop","canonical prompt synopsis in prompts.md","context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-049","CHA-049-nora-citrus-recipe.png","2fadf110cbaf0c13a9d32829df991319a53ad2f1f39f932a21692f9f57fa2fe2","1536","1024","3727604","2026-07-18","OpenAI image generation via Codex","gpt-image-2","true","documents","Nora","Cedar House","canonical prompt synopsis in prompts.md","context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte copy of accepted generator output","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-050","CHA-050-nora-birthday-invitation.png","c10ac0a95452d62ad886374b47df06efcdd5755eb5ec6458ac5994f0637d8e92","1536","1024","3325916","2026-07-20","OpenAI image generation via Codex","gpt-image-2","true","documents","Nora","Nora's 70th Birthday","canonical prompt synopsis in prompts.md; printed date corrected to 2024-07-25","context-contact-sheet-v1.png; shot-ledger.csv","date-only synthetic regeneration; prior accepted bytes preserved in the private correction archive","accepted by human visual inspection","release candidate; see NOTICE.md and LICENSE.md"
"CHA-051","CHA-051-maya-bluewater-boardwalk-strangers.png","c45cb170da0fd7404be057ffc37f00c7366b33cf8aa6cd35732e7f4036e42751","1536","1024","2468649","2026-07-21","OpenAI image generation via Codex","gpt-image-2","true","bluewater","Maya","Bluewater Beach;Bluewater Weekend","canonical prompt synopsis in prompts.md","cast-contact-sheet-v1.png; context-contact-sheet-v1.png; shot-ledger.csv","none; byte-for-byte accepted generator output","accepted by human visual inspection","release candidate; Maya plus exactly two unrelated adult strangers; see NOTICE.md and LICENSE.md"
