asset_id,chapter,title,orientation,subjects,contexts,demonstrates,visibility
CHA-035,birthday,Samira and Theo in side-profile conversation,landscape,Samira;Theo,Nora's 70th Birthday,side profiles;identity correction,personal
CHA-036,birthday,Eli laughing in motion blur,landscape,Eli,Nora's 70th Birthday,Unknown versus accepted identity;LQ evidence,personal
CHA-037,birthday,Hands opening the birthday card,landscape,Nora;Eli,Nora's 70th Birthday,Event detail;Presence;Document connection,personal
CHA-038,birthday,Formal family group after cake,landscape,Maya;Alex;Nora;Theo;Samira;Eli,Nora's 70th Birthday,complete group;duplicate Person merge fixture,standard
CHA-039,garden,Willow Garden morning overview,landscape,,Willow Community Garden;Saturday Garden Crew,Place cover;Activity cover,standard
CHA-040,garden,Theo and Alex carry reclaimed timber,landscape,Theo;Alex,Willow Community Garden;Saturday Garden Crew,Body continuity;Activity participants,standard
CHA-041,garden,Maya and Samira planting seedlings,landscape,Maya;Samira,Willow Community Garden;Saturday Garden Crew,coappearance;clear Faces,standard
CHA-042,garden,Nora resting beneath a sunhat,portrait,Nora,Willow Community Garden;Saturday Garden Crew,Head;partial Face;quiet profile,personal
CHA-043,garden,Eli and Juniper beside the wheelbarrow,landscape,Eli;Juniper,Willow Community Garden;Saturday Garden Crew,Pet and Person connection;Body,standard
CHA-044,garden,Tools and Moss beside the shed,landscape,,Moss;Willow Community Garden;Saturday Garden Crew,Thing media;Activity detail,standard
CHA-045,garden,Garden crew walking away,landscape,Maya;Alex;Theo;Samira;Eli,Willow Community Garden;Saturday Garden Crew,Presence;Body;backs turned,standard
CHA-046,documents,Bluewater Weekend itinerary,landscape,,Bluewater Weekend;Bluewater Beach;Ruby,Document linked to Event Place and Thing,standard
CHA-047,documents,Juniper vaccination card,landscape,Juniper,,Document linked to Pet;privacy control,private
CHA-048,documents,Ruby repair receipt,landscape,,Ruby;Northside Workshop,Document linked to Thing and Place,personal
CHA-049,documents,Nora's handwritten recipe card,landscape,Nora,Cedar House,Document linked to Person and Place,personal
CHA-050,documents,Nora's birthday invitation,landscape,Nora,Nora's 70th Birthday,Document linked to Person and Event,standard
CHA-051,bluewater,Maya on the Bluewater boardwalk with two strangers,landscape,Maya,Bluewater Beach;Bluewater Weekend,Known Face plus two reviewable unknown Faces;Unknown/Later/Undo,standard
